shot_num,distance_to_goal,play_pattern,duration,shot_speed,angle_to_goal,players_between_goal,players_within_1,players_within_5,players_within_10,opponents_within_5,teammates_within_5,shot_taker_type,shot_technique,shot_body_part,goalkeeper_in_the_way,one_on_one,pass_length,pass_angle,pass_speed,goal
15176,28.271894170713075,Open Play,1.501563,18.82831034775969,0.1729751280876062,1,0,2,4,1,1,midfield,Normal,Right Foot,1,0,29.410883000000002,0.95449936,16.026602129717027,1
15177,10.346980235798274,Open Play,0.9176,11.276133648428806,1.1297985654402452,5,0,2,7,2,0,defender,Normal,Head,1,0,49.365982,1.6926387999999999,21.432718355746072,0
15178,16.610839834276884,Open Play,1.1375,14.602936118045616,0.2020251564035924,2,0,2,8,2,0,midfield,Normal,Right Foot,1,0,6.0,1.5707964,5.544236073572012,1
15179,19.180198122021565,Open Play,0.3363,57.03300066018904,0.3932794050538968,7,0,0,4,0,0,midfield,Normal,Right Foot,1,0,6.0,1.5707964,5.544236073572012,0
15180,11.094142598686929,Open Play,0.1579,70.26056110631367,0.7538297069096705,4,0,3,9,3,0,midfield,Half Volley,Left Foot,1,0,6.0,1.5707964,5.544236073572012,0
15181,19.72232237846244,Open Play,1.45075,13.594569966198476,0.5428137494865206,7,0,2,6,1,1,midfield,Normal,Right Foot,1,0,6.0,1.5707964,5.544236073572012,0
15182,28.60996329952207,Open Play,1.5491489999999999,18.4681804652245,0.2820292454419999,2,0,2,5,1,1,midfield,Normal,Right Foot,1,0,8.602325,0.95054686,4.7589761379965845,0
15183,20.32461561752153,Open Play,0.6599,30.79953874453937,0.4285380754410235,7,0,1,3,1,0,defender,Normal,Left Foot,1,0,41.677334,2.0988708,29.64843017472168,0
15184,18.745132701584165,Open Play,0.2302,81.42976846908847,0.2761795208390244,1,0,2,4,2,0,midfield,Lob,Right Foot,1,1,49.648765999999995,0.3281199,16.86551931268011,0
15185,9.247702417357507,Open Play,0.1046,88.41015695370466,0.06965457372856841,1,1,2,5,2,0,midfield,Normal,Head,1,0,26.925822999999998,1.3078016000000001,20.284634650951126,0
15186,30.36445290137795,Free Kick,0.38102600000000003,79.69128852460975,0.1707352114752828,5,0,1,2,0,1,midfield,Normal,Right Foot,1,0,26.925822999999998,1.3078016000000001,20.284634650951126,0
15187,29.005689097140927,Open Play,1.588998,18.25407527079388,0.006968528314647996,3,0,1,6,1,0,midfield,Half Volley,Right Foot,1,0,26.925822999999998,1.3078016000000001,20.284634650951126,0
15188,8.381527307120109,Open Play,0.3539,23.683321014750238,0.1507463811204219,2,0,4,12,2,2,forward,Normal,Head,1,0,18.027756,1.9100888999999999,17.984593353272096,0
15189,13.520724832641188,Open Play,0.964656,14.016110232705946,1.078056399027313,1,0,2,3,2,0,midfield,Normal,Left Foot,1,0,34.174403999999996,0.8205803,16.62326413505662,0
15190,19.70025380547165,Open Play,0.6392,30.820171785781675,0.2051926727927875,2,0,3,7,3,0,midfield,Normal,Right Foot,1,0,16.385664000000002,1.060734,14.477526476615912,0
15191,10.508092119885507,Open Play,0.3052,34.43018387904819,0.10848331155497158,2,0,4,6,3,1,midfield,Volley,Left Foot,1,0,20.112185,1.8894023000000002,9.702443467394584,0
15192,3.6687872655688287,Open Play,0.202501,18.117378509581822,0.6919213822388586,2,0,4,9,4,0,midfield,Normal,Right Foot,1,0,20.112185,1.8894023000000002,9.702443467394584,0
15193,11.099999999999996,Open Play,0.656726,16.902026111346277,0.3458745598372415,1,0,4,7,3,1,midfield,Normal,Head,1,0,25.87122,1.2319325,25.001178518158444,0
15194,18.42606849004964,Open Play,1.1781,15.640496129402974,0.26211984126547266,1,0,4,8,3,1,midfield,Normal,Right Foot,1,0,12.528367999999999,1.2793396000000001,17.040761440006342,1
15195,26.236043909095745,Open Play,0.2048,128.10568314988154,0.6800494524109744,2,0,3,5,2,1,forward,Normal,Right Foot,1,0,12.528367999999999,1.2793396000000001,17.040761440006342,0
15196,11.300442469213321,Open Play,0.780524,14.47802049547909,1.098030429476895,1,1,1,2,1,0,forward,Normal,Head,1,0,39.920547,1.0050278,20.949069106029203,0
15197,35.29532546952925,Open Play,0.3391,104.08530070636759,0.5070985043923368,3,0,1,1,1,0,defender,Normal,Right Foot,1,0,42.20924,1.957022,17.145682303365888,0
15198,25.267568145747614,Open Play,0.7254,34.83260014577835,0.5951163046876752,2,0,2,4,2,0,midfield,Normal,Right Foot,1,0,20.402206,1.5560915000000002,11.742276698188872,0
15199,33.80236678104065,Free Kick,0.3164,106.83428186169608,0.2687836893119341,5,0,1,2,0,1,defender,Normal,Right Foot,1,0,20.402206,1.5560915000000002,11.742276698188872,0
15200,31.978117518077887,Open Play,1.1698,27.336397262846546,0.3883187181724661,1,0,0,4,0,0,defender,Normal,Right Foot,1,0,18.201649,1.3884858,10.55535158722484,0
15201,27.19191056178289,Open Play,1.102611,24.661381540527795,0.5955925906237849,4,0,2,5,2,0,midfield,Normal,Right Foot,1,0,18.201649,1.3884858,10.55535158722484,0
15202,24.508161905781517,Open Play,0.326,75.17841075393102,0.1665463005437436,1,0,2,5,1,1,midfield,Normal,Left Foot,1,0,21.281212,1.7838588,28.307012997445078,0
15203,8.154140052758478,Open Play,1.2066,6.757947996650487,0.10626486289107843,2,0,4,9,4,0,forward,Normal,Head,1,0,36.45888,1.7751848000000001,22.452814969989088,0
