shot_num,distance_to_goal,play_pattern,duration,shot_speed,angle_to_goal,players_between_goal,players_within_1,players_within_5,players_within_10,opponents_within_5,teammates_within_5,shot_taker_type,shot_technique,shot_body_part,goalkeeper_in_the_way,one_on_one,pass_length,pass_angle,pass_speed,goal
19583,9.960923651951164,Open Play,0.5936,16.78053175867784,0.475695218854992,1,0,3,6,2,1,midfield,Volley,Left Foot,1,0,36.687874,1.8753072,16.583588417343165,1
19584,18.377431811871862,Open Play,1.3082,14.047876327680676,0.5327339129140146,3,0,2,6,1,1,midfield,Half Volley,Left Foot,1,0,-1.0,-1.0,-1.0,0
19585,19.81161275615895,Free Kick,1.2309,16.095225246696685,0.09614931056061811,7,0,1,12,0,1,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,1
19586,19.00026315607234,Open Play,1.4459,13.140786469377094,0.20245112850707989,2,0,0,4,0,0,midfield,Volley,Right Foot,1,0,-1.0,-1.0,-1.0,0
19587,9.027181176868005,Open Play,0.9621,9.382788875239585,0.35144479400355144,4,1,5,9,4,1,midfield,Volley,Right Foot,1,0,-1.0,-1.0,-1.0,0
19588,33.58094697890457,Open Play,1.283679,26.159925478958968,0.3290496948403395,3,0,0,3,0,0,defender,Normal,Right Foot,1,0,16.492422,1.3258177,11.981496793274088,0
19589,15.232859219463695,Open Play,0.1344,113.33972633529535,0.3177980058098919,2,0,5,7,4,1,midfield,Half Volley,Right Foot,1,0,-1.0,-1.0,-1.0,0
19590,23.162469643800936,Open Play,0.4977,46.5390187739621,1.2255207014130376,2,0,2,5,2,0,midfield,Normal,Left Foot,1,0,13.341664,0.22679885,13.096754750295803,0
19591,8.495881355103776,Open Play,0.7666,11.082548076055017,1.0653479859212391,1,1,7,11,5,2,defender,Normal,Other,0,0,-1.0,-1.0,-1.0,0
19592,6.4007812023221,Open Play,0.6286,10.182598158323415,0.9029637375350923,4,0,6,11,4,2,midfield,Normal,Right Foot,0,0,-1.0,-1.0,-1.0,1
19593,7.660939890117924,Open Play,0.3199,23.947920881894103,0.9406024172503465,2,0,5,9,4,1,defender,Normal,Right Foot,1,0,14.764823,2.0647378,12.813349874367265,0
19594,37.97393843150852,Open Play,1.4517,26.15825475753153,0.3152676630470972,2,0,1,1,1,0,midfield,Normal,Right Foot,1,0,14.21267,0.6857295,13.498594741715163,0
19595,31.605695689226643,Open Play,1.1061,28.573994837018933,0.14455426712782943,3,0,1,2,1,0,midfield,Normal,Right Foot,1,0,12.206555,2.1815224,15.711834460116851,0
19596,23.910248848558652,Open Play,1.4384,16.62280926623933,0.9899437546188441,1,0,2,3,1,1,forward,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19597,22.489108474992953,Open Play,2.3524,9.560069917953134,0.5166951387622774,1,0,2,5,1,1,forward,Normal,Right Foot,1,0,15.264338,2.5899377,12.354085581936877,0
19598,32.64751139060985,Open Play,0.2024,161.30193374807237,0.027685232203843002,2,0,0,1,0,0,midfield,Normal,Right Foot,1,0,0.0,0.0,0.0,0
19599,21.868927728629036,Open Play,2.1863,10.00271130614693,0.6853614579232736,5,0,1,1,1,0,defender,Volley,Right Foot,1,0,57.72348,1.815775,17.874366371043305,0
19600,7.8746428490440135,Open Play,0.284828,27.647010999775347,0.9878827378391625,1,0,2,2,2,0,midfield,Half Volley,Right Foot,1,1,32.420055,0.6453518,17.75923704500147,1
19601,19.787369708983555,Open Play,0.772958,25.599540607618465,0.7517973689814552,1,0,2,3,2,0,midfield,Normal,Right Foot,1,0,64.53418,1.1133857,21.719450183703263,0
19602,13.57645019878171,Open Play,0.4873,27.860558585638643,0.5280744484263601,1,0,1,5,1,0,forward,Volley,Right Foot,1,0,10.022474,2.003204,9.57530786690881,0
